customerID,tenure,MonthlyCharges,TotalCharges,Churn
5248-YGIJN,72,90.25,6369.45,No
6234-RAAPL,72,99.90,7251.70,No
5954-BDFSG,72,107.50,7853.70,No
0526-SXDJP,72,42.10,2962.00,No
9848-JQJTX,72,100.90,7459.05,No
6728-DKUCO,72,104.15,7303.05,No
2848-YXSMW,72,19.40,1363.25,No
6734-PSBAW,72,23.55,1723.95,No
3146-MSEGF,72,88.05,6425.65,No
5997-OPVFA,72,89.05,6254.45,No
9680-NIAUV,72,109.70,8129.30,No
7255-SSFBC,72,112.25,8041.65,No
6348-SNFUS,72,55.45,4179.20,No
9286-BHDQG,72,45.25,3139.80,No
7083-MIOPC,72,20.25,1566.90,No
7301-ABVAD,72,86.60,6350.50,No
6614-FHDBO,72,109.20,7878.30,No
9880-TDQAC,72,60.00,4264.00,No
3520-FJGCV,72,112.60,8126.65,No
8204-YJCLA,72,64.80,4732.35,No
7606-BPHHN,72,19.80,1468.75,No
7781-HVGMK,72,65.20,4784.45,No
4376-KFVRS,72,114.05,8468.20,No
1090-ESELR,72,105.50,7611.55,No
1480-BKXGA,72,116.05,8404.90,No
5968-XQIVE,72,89.70,6588.95,No
5168-MQQCA,72,108.50,8003.80,No
7971-HLVXI,72,84.50,6130.85,No
3649-JPUGY,72,88.60,6201.95,No
8606-CIQUL,72,115.75,8399.15,No
6859-QNXIQ,72,113.10,8248.50,No
3580-HYCSP,72,110.30,7966.90,No
1352-HNSAW,72,115.60,8220.40,No
0742-LAFQK,72,99.15,7422.10,No
0619-OLYUR,72,111.90,8071.05,No
4723-BEGSG,72,86.65,6094.25,No
8207-DMRVL,72,114.55,8306.05,No
2469-DTSGX,72,111.65,7943.45,No
1775-KWJKQ,72,89.85,6562.90,No
0078-XZMHT,72,85.15,6316.20,No
8338-QIUNR,72,66.50,4811.60,No
4312-KFRXN,72,25.40,1710.90,No
7564-GHCVB,72,79.05,5730.70,No
7503-MIOGA,72,89.85,6697.35,No
2499-AJYUA,72,110.80,7882.25,No
6919-ELBGL,72,114.95,8196.40,No
5684-FJVYR,72,90.35,6563.40,No
1266-NZYUI,72,66.85,4758.80,No
8823-RLPWL,72,110.65,8065.65,No
4992-LTJNE,72,55.30,3983.60,No
0229-LFJAF,72,69.65,4908.25,No
9926-PJHDQ,72,76.80,5468.45,No
0392-BZIUW,72,105.00,7589.80,No
9778-OGKQZ,72,92.00,6782.15,No
7408-OFWXJ,72,89.80,6510.45,No
6007-TCTST,72,115.80,8476.50,No
8374-UULRV,72,86.05,6309.65,No
5275-PMFUT,72,64.80,4719.75,No
1937-OTUKY,72,98.20,7015.90,No
3865-YIOTT,72,106.10,7848.50,No
6024-RUGGH,72,25.20,1798.90,No
4079-WWQQQ,72,65.55,4807.45,No
5787-KXGIY,72,19.30,1304.80,No
6115-ZTBFQ,72,65.50,4919.70,No
8165-ZJRNM,72,23.75,1679.25,No
2545-LXYVJ,72,20.70,1492.10,No
4829-ZLJTK,72,112.40,8046.85,No
1779-PWPMG,72,114.65,8333.95,No
9127-FHJBZ,72,114.00,8093.15,No
7115-IRDHS,72,24.65,1830.05,No
2226-ICFDO,72,85.90,6110.75,No
4821-WQOYN,72,20.10,1326.25,No
2388-LAESQ,72,114.85,8317.95,No
4389-UEFCZ,72,105.50,7544.00,No
3108-PCCGG,72,84.45,5899.85,No
1291-CUOCY,72,110.60,7962.20,No
3910-MRQOY,72,19.40,1496.45,No
7722-VJRQD,72,60.95,4549.05,No
3084-DOWLE,72,92.00,6474.40,No
3071-MVJCD,72,82.30,5815.15,No
7684-XSZIY,72,24.30,1643.25,No
8039-ACLPL,72,68.75,4888.20,No
9242-TKFSV,72,65.10,4754.30,No
0640-YJTPY,72,21.00,1493.75,No
2091-GPPIQ,72,78.95,5730.15,No
2429-AYKKO,72,19.85,1434.10,No
4751-ERMAN,72,75.40,5480.25,No
6374-NTQLP,72,104.10,7447.70,No
1971-DTCZB,72,90.95,6468.60,No
5980-BDHPY,72,87.10,6230.10,No
4737-AQCPU,72,72.10,5016.65,No
4836-WNFNO,72,25.00,1849.20,No
9225-BZLNZ,72,85.25,6083.10,No
7359-WWYJV,72,114.45,8375.05,No
0404-AHASP,72,19.70,1421.90,No
2040-XBAVJ,72,114.45,8100.55,No
3963-RYFNS,72,116.45,8013.55,No
2057-BOYKM,72,96.60,6827.50,No
5605-XNWEN,72,25.00,1802.55,No
6181-AXXYF,72,24.75,1859.10,No
4193-IBKSW,72,24.75,1769.60,No
7860-KSUGX,72,64.45,4720.00,No
1927-QEWMY,72,20.50,1502.25,No
5663-QBGIS,72,98.35,6929.40,No
0794-YVSGE,72,20.30,1401.15,No
7010-BRBUU,72,24.10,1734.65,No
0973-KYVNF,72,70.65,5011.15,No
9637-CDTKZ,72,114.10,8086.40,No
7873-CVMAW,72,88.55,6362.35,No
1951-IEYXM,72,90.60,6441.85,No
5668-MEISB,72,106.10,7657.40,No
3219-JQRSL,72,89.10,6352.40,No
0019-EFAEP,72,101.30,7261.25,No
9675-ICXCT,72,80.80,5728.55,No
1488-PBLJN,72,116.85,8477.70,No
0744-BIKKF,72,86.65,6224.80,No
9919-FZDED,72,84.10,5981.65,No
2251-PYLPB,72,79.55,5810.90,No
4139-DETXS,72,64.45,4528.00,No
7101-HRBLJ,72,83.70,6096.90,No
2878-RMWXY,72,102.65,7550.30,No
4815-YOSUK,72,104.90,7537.50,No
2234-EOFPT,72,79.35,5753.25,No
3398-GCPMU,72,89.55,6448.85,No
0336-PIKEI,72,74.40,5360.75,No
